Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Primavera,No laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,No laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Altres,Mati,Altres,Motocicleta,Home,[34;50]
Otono,Laborable,No determinada,Mati,Caiguda (dues rodes),Motocicleta,Dona,[34;50]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[51;70]
Verano,Laborable,Manca precaucio incorporacio circulacio,Mati,Colision fronto-lateral,Bicicleta,Dona,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Primavera,No laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Primavera,Laborable,No respectar distancies,Mati,Abast,Turisme,Home,[34;50]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[51;70]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Invierno,Laborable,Altres,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33]
Invierno,Laborable,Desobeir samoforo,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Altres,Mati,Colision lateral,Bicicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Autobus,Home,[51;70]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50]
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Home,[34;50]
Invierno,Laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Dona,[34;50]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision frontal,Motocicleta,Home,[51;70]
Primavera,Laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,No laborable,Manca precaucio incorporacio circulacio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Bicicleta,Dona,[51;70]
Verano,No laborable,Altres,Mati,Caiguda (dues rodes),Motocicleta,Dona,[18;33]
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Primavera,Laborable,No determinada,Tarda,Colision frontal,Bicicleta,Dona,[18;33]
