Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad,Barrio
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[18;33],la Vila de Gracia
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33],el Fort Pienc
Primavera,Laborable,Manca precaucio incorporacio circulacio,Mati,Colision lateral,Motocicleta,Home,[51;70],"Vallvidrera, el Tibidabo i les Planes"
Verano,Laborable,Desobeir altres senyals,Nit,Colision fronto-lateral,Turisme,Home,[18;33],la Dreta de l'Eixample
Otono,No laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],el Camp de l'Arpa del Clot
Primavera,Laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50],el Guinardo
Invierno,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[51;70],el Guinardo
Invierno,Laborable,Altres,Tarda,Abast,Motocicleta,Dona,[34;50],la Maternitat i Sant Ramon
Primavera,No laborable,Envair calzada contraria,Mati,Colision frontal,Turisme,Home,[51;70],Provencals del Poblenou
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Atropellament,Motocicleta,Home,[34;50],la Dreta de l'Eixample
Otono,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33],el Bon Pastor
Otono,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33],el Bon Pastor
Primavera,Laborable,Desobeir altres senyals,Mati,Abast,Motocicleta,Home,[34;50],Sarria
Verano,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Dona,[18;33],la Dreta de l'Eixample
Otono,No laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[18;33],Sants
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[51;70],el Poblenou
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33],la Marina del Prat Vermell
Verano,Laborable,No determinada,Tarda,Abast,Motocicleta,Home,[18;33],la Verneda i la Pau
Primavera,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[34;50],la Verneda i la Pau
Invierno,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33],Sant Gervasi - la Bonanova
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50],Sant Gervasi - la Bonanova
Invierno,No laborable,No determinada,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Dona,[18;33],Vilapicina i la Torre Llobeta
Otono,Laborable,Altres,Mati,Colision fronto-lateral,Motocicleta,Home,[34;50],la Trinitat Vella
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],el Poble-sec
Primavera,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33],la Sagrada Familia
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Primavera,No laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Home,[18;33],l'Antiga Esquerra de l'Eixample
Verano,No laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Home,[18;33],l'Antiga Esquerra de l'Eixample
Verano,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33],el Guinardo
Verano,Laborable,Altres,Mati,Altres,Motocicleta,Home,[34;50],Sarria
Otono,Laborable,No determinada,Mati,Caiguda (dues rodes),Motocicleta,Dona,[34;50],les Corts
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[51;70],el Parc i la Llacuna del Poblenou
Verano,Laborable,Manca precaucio incorporacio circulacio,Mati,Colision fronto-lateral,Bicicleta,Dona,[18;33],Vallcarca i els Penitents
Invierno,Laborable,Gir indegut o sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33],la Sagrada Familia
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33],la Marina de Port
Verano,Laborable,Desobeir samoforo,Mati,Colision fronto-lateral,Motocicleta,Home,[18;33],les Tres Torres
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33],el Bon Pastor
Primavera,No laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[18;33],el Clot
Primavera,Laborable,No respectar distancies,Mati,Abast,Turisme,Home,[34;50],el Camp de l'Arpa del Clot
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33],el Camp d'en Grassot i Gracia Nova
Primavera,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[51;70],el Camp d'en Grassot i Gracia Nova
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Motocicleta,Dona,[18;33],el Bon Pastor
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33],la Font d'en Fargues
Invierno,Laborable,Altres,Tarda,Colision lateral,Motocicleta,Dona,[34;50],la Clota
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[18;33],Vilapicina i la Torre Llobeta
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33],la Marina del Prat Vermell
Invierno,Laborable,Desobeir samoforo,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33],l'Antiga Esquerra de l'Eixample
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision lateral,Motocicleta,Dona,[18;33],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,Altres,Mati,Colision lateral,Bicicleta,Home,[18;33],la Nova Esquerra de l'Eixample
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70],la Dreta de l'Eixample
Verano,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Dona,[34;50],el Carmel
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Autobus,Home,[51;70],la Vila de Gracia
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Dona,[34;50],la Vila de Gracia
Primavera,Laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[34;50],Horta
